State,Democratic,Republican,Other,Total,Year
Alabama,678687,875737,5471,1659895,2018
Alaska,0,149779,132387,282166,2018
Arizona,1179193,1139251,22826,2431270,2018
Arkansas,312978,556339,19981,889289,2018
California,8010445,3973396,200661,12184522,2018
Colorado,1343211,1079772,90924,2513907,2018
Connecticut,808652,512495,58661,1379808,2018
Delaware,227353,125384,0,352737,2018
Florida,3675417,3307228,38831,7021476,2018
Georgia,1814469,1987191,0,3801660,2018
Hawaii,287921,87348,7253,382522,2018
Idaho,207303,367993,20428,595724,2018
Illinois,2757540,1754449,27715,4539704,2018
Indiana,1000014,1247978,8067,2256149,2018
Iowa,664676,612338,39428,1316442,2018
Kansas,464380,563190,22752,1050322,2018
Kentucky,612977,935304,21517,1569798,2018
Louisiana,553184,835715,71694,1460593,2018
Maine,343635,250119,29670,623424,2018
Maryland,1493047,737906,55331,2286284,2018
Massachusetts,1943595,497953,43531,2485079,2018
Michigan,2157003,1853459,126241,4154703,2018
Minnesota,1420769,1125533,30694,2576996,2018
Mississippi,398770,471162,68971,938903,2018
Missouri,1330975,1027969,59469,2418413,2018
Montana,233284,256661,14476,504421,2018
Nebraska,264493,432077,0,696570,2018
Nevada,491272,439727,29775,960774,2018
New Hampshire,311242,248986,10516,570744,2018
New Jersey,1856819,1198664,43260,3098743,2018
New Mexico,404026,264701,24584,693311,2018
New York,3990483,1859074,92226,6052758,2018
North Carolina,1770902,1845921,46224,3663047,2018
North Dakota,114377,193568,13589,321532,2018
Ohio,2019120,2245403,31034,4295557,2018
Oklahoma,428452,730531,19853,1178836,2018
Oregon,1061412,702531,83703,1847646,2018
Pennsylvania,2712665,2206260,10950,4929875,2018
Rhode Island,242575,129838,867,373280,2018
South Carolina,758340,927494,23458,1709292,2018
South Dakota,120816,202446,12209,335471,2018
Tennessee,846450,1279655,33720,2159825,2018
Texas,3852752,4135359,214597,8202708,2018
Utah,374009,617307,61190,1052506,2018
Vermont,188547,70705,13199,272451,2018
Virginia,1867061,1408701,37152,3312914,2018
Washington,1888593,1048712,84646,3021951,2018
West Virginia,234568,337146,6277,577991,2018
Wisconsin,1367492,1172964,31199,2571655,2018
Wyoming,59903,127963,13379,201245,2018
