State,Democratic.EV,Republican.EV
Alabama,1,
Alaska,1,
Arizona,1,
Arkansas,1,
California,1,
Colorado,2,
Connecticut,1,
Delaware,1,
Florida,1,
Georgia,1,
Hawaii,1,
Idaho,1,
Illinois,1,
Indiana,1,
Iowa,1,
Kansas,1,
Kentucky,1,
Louisiana,1,
Maine,1,
Maryland,1,
Massachusetts,1,
Michigan,1,
Minnesota,1,
Mississippi,1,
Missouri,1,
Montana,1,
Nebraska,1,
Nevada,1,
New Hampshire,1,
New Jersey,1,
New Mexico,1,
New York,1,
North Carolina,1,
North Dakota,,
Ohio,,
Oklahoma,,
Oregon,,
Pennsylvania,,
Rhode Island,,
South Carolina,,
South Dakota,,
Tennessee,,
Texas,,
Utah,,
Vermont,,
Virginia,,
Washington,,
West Virginia,,
Wisconsin,,
Wyoming,,
