State,Total.EV
Alabama,1
Alaska,1
Arizona,1
Arkansas,1
Colorado,1
Delaware,1
Georgia,2
Idaho,1
Illinois,1
Iowa,1
Kansas,1
Kentucky,1
Louisiana,1
Maine,1
Massachusetts,1
Michigan,1
Minnesota,1
Mississippi,1
Montana,1
Nebraska,1
New Hampshire,1
New Jersey,1
New Mexico,1
North Carolina,1
Oklahoma,1
Oregon,1
Rhode Island,1
South Carolina,1
South Dakota,1
Tennessee,1
Texas,1
Virginia,1
West Virginia,1
Wyoming,1
Washington,0
Hawaii,0
California,0
Nevada,0
Utah,0
North Dakota,0
Missouri,0
Wisconsin,0
Indiana,0
Ohio,0
Florida,0
Pennsylvania,0
Maryland,0
New York,0
Connecticut,0
Vermont,0
